text,label_aktual,label_prediksi,sentimen_prediksi,prob_negatif,prob_netral,prob_positif
"Aku salah satu warga aceh yang rumahnya kebanjiran. Waktu air naik situasi lagi hujan deras, angin kencang, petir, listrik mati, jaringan gak ada dan sekarang kalau hujan pasti takut 44",0,0,negatif,0.5353064,0.41304207,0.051651552
"Aceh Tamiang menjadi wilayah paling parah terdampak banjir bandang. Rumah warga porak-poranda, dan di sejumlah titik seluruh desa rata dengan tanah. Ternak seperti sapi dan kambing mati terkapar di jalan, sementara mayat korban masih tertimbun di bawah lumpur.",0,0,negatif,0.8172633,0.09843384,0.084302865
"empat gajah tersebut bernama Abu, Mido, Ajis dan Noni banjirsumatra banjiraceh PrayForSumatera aceh.antaranews. Update Bencana Aceh, Empat gajah jinak bantu bersihkan puing sisa banjir di Pidie Jaya - ANTARA... Balai Konservasi dan Sumber Daya Alam (BKSDA) Aceh mengerahkan empat ekor gajah jinak untuk membantu pembersihan kayu-kayu hutan sisa bencana banjir di ... 1 113",2,1,netral,0.19737197,0.40888247,0.3937455
"Upaya pemulihan listrik pascabanjir di sejumlah wilayah Sumatera Barat terus dilakukan secara maksimal oleh berbagai pihak. Kapolda Sumbar Irjen Pol Gatot menegaskan bahwa Polri memberikan dukungan penuh, termasuk penambahan personel, dalam membantu proses penanganan bencana 17",2,2,positif,0.056164112,0.14111091,0.802725
banjir besar dan akses putus tapi Polisi Tanggap Bencana tetap maju demi evakuasi warga di titik paling sulit Terimakasih POLRI 23,2,2,positif,0.25067395,0.09483335,0.6544927
Mohon izin disuarakan pak Bg Bu dan seluruh Rakyat Byk perusahaan besar yg mengeruk alam Desa kami Belantaraya kec gaung kab Inhil prov Riau Tak satupun pejabat daerah berani bersuara untuk audit perizinannya Banjir sudah terasa 2 7 8,0,0,negatif,0.6163105,0.25248134,0.13120815
"Tololll, kui udu nyalahke jowo cok. Iku mek ko bayangke betapa dahsyatnya luas dampak banjir Sumatera. Sing notabene banjire kui sak pulau Jawa, tapi respon pemerintahane ga sat set karo serius. Sedangkan nek ono kasus"" bencana ng Jowo gercep, ngunu. Kenopo koe malah bengok"" cok",0,0,negatif,0.64005226,0.28978553,0.07016217
"Empat gajah dari sebuah pusat pelatihan lokal menggunakan belalainya untuk bantu memindahkan potongan kayu besar dan membuka jalan yang terhalang di Pidie Jaya, sebuah distrik di Aceh yang parah terdampak banjir. 6 12",0,2,positif,0.15904248,0.3061661,0.5347914
"Kemarin BNPB (melalui kepalanya), sekarang Basarnas membuat komentar kontroversial yang bertentangan dengan laporan langsung dari lapangan. Setelah coba iseng cek latar belakang kepala/ketua 2 badan ini langsung bikin manggut-manggut 1 473",0,0,negatif,0.6020729,0.3642981,0.033629023
Kehadiran tim dari Polda Riau menjadi wujud nyata kepedulian Polri terhadap korban banjir bandang di Sumatera Barat. polri PolriPeduli PeduliBencana PrayForSumatera 1 53,0,0,negatif,0.5241096,0.06477022,0.41112024
"Ketika panik malem2 tiba2 motor mogok, Mas ini ditolong oleh Marbot Masjid warungmakangratis masjidpemudaindonesia masjidramahsegalanya prayforsumatra 1 10",2,1,netral,0.3125915,0.3533696,0.33403894
DAH JADI KENYATAAN... Rakyat Pribumi Jadi Budak di Negeri Sendiri...Bahkan MATI Para Taipan Cina Menguras SDA dan Membabat Habis Hutan Bumi Pertiwi... PrayForSumatera BENCANANASIONAL NATIONALDISASTER 2 123,0,0,negatif,0.8011583,0.10013922,0.09870249
"Iya, aksi Dinas Pendidikan Aceh ini emang nyata banget. Mereka lagi rehab sekitar 1.000 kursi dan meja rusak banjir di sekolah-sekolah seperti SMK Negeri Karang Baru. Ini bantu siswa belajar lagi dengan nyaman, plus hemat biaya. Buat siswa dan guru di sana, pasti terbantu ya.",0,2,positif,0.21700296,0.09521217,0.68778485
"Akun parodi Oalah tau"" ih kta ternyata sma ya sama"" sumbar Sejauh ini tmpt ku aman bsa dibilang aku ditengah"" tau terkepung maninjau longsor banjir nah disbelah snaa lagi bnjir jga tpi untung aman cma kmaren itu air di luar gede Tpi kmu gimana skrng ??? Okey smua? 2 68",1,0,negatif,0.49306926,0.45240206,0.05452868
"Tanggung jawab atas deforestasi penyebab banjir bandang di Sumatra (seperti November 2025) bersifat multifaset. Berdasarkan laporan dari BBC, CNN Indonesia, dan Mongabay, pemerintah bertanggung jawab karena mengeluarkan izin operasi perusahaan. Perusahaan seperti PT Tusam dan",0,1,netral,0.31251106,0.6227526,0.06473635
Banjir bandang jadi peringatan keras pentingnya perlindungan hutan Aceh Sumatera Update 25,0,1,netral,0.17097856,0.6140026,0.21501888
"pemerintah merespon cepat atas bencana banjir di sumatera. Bantuan terus mengalir untuk para korban, evakuasi warga, distribusi logistic dan penjagaan keamanan terus dilakukan SatuIndonesia Pemerintah Hadir Tanpa Tunda 22",0,0,negatif,0.6517414,0.056017738,0.2922409
"Halaman masjid yang kini menjadi posko pengungsian tampak riuh oleh aktivitas warga dan relawan yang memasak di dapur umum. Tawa lirih bercampur letih menggambarkan bagaimana warga Desa Blang Panjoe, Kabupaten Bireuen, Aceh, saling menguatkan setelah rumah mereka terendam banjir. 2 9",2,2,positif,0.2504627,0.11034075,0.6391965
"Jakarta, 6 Desember 2025 — Bencana alam banjir bandang yang melanda Aceh, Sumatra Utara, dan Sumatra Barat pada akhir November lalu meninggalkan dampak hebat bagi sejumlah wilayah, termasuk di Kampung Apa di Kelurahan Lubuk Minturun, Kecamatan Koto Tangah, Sumatra Barat. 45",0,1,netral,0.21952212,0.6250338,0.15544406
"kalau gak ada bukti, gak usah nuduh macam2. bajer emang gaje. yang banyak buktinya kalau banjir di sumatera (tapanuli selatan) belum lama ini akibat deforestasi yang ijinnya diberikan oleh pada bulan oktober 2025 lalu. Kayu Gelondongan di Balik Banjir Sumut, Bupati Tapsel Bicara Kemenhut Kembali Beri Izin Korporasi -... 149",0,0,negatif,0.5368599,0.42897612,0.03416397
Pembangunan bagi warga masyarakat yang terkena bencana banjir sedang di laksanakan yaitu dalam membangun rumah rumah yang rusak dan terbawa banjir dan smoga bisa segera beres Aceh Sumatera Update 16,0,2,positif,0.2002912,0.13693346,0.66277534
"""Mahasiswa terdampak bencana Sumatra dibebas UKT 1-2 semester, keren banget! 6",2,2,positif,0.28934494,0.19615355,0.51450145
"Pemerintah saat ini sepertinya hanya ingin ""hadir ketika ada masalah"" bukan untuk ""menyelesaikan masalah"" PrayForSumatera 1 12",0,2,positif,0.31046122,0.34069234,0.3488464
Akun parodi Lekas Pulih Sumatera AllEyesOnSumatera PrayForSumatera PrayForSibolga PrayForTapanuli PrayForAceh prayforsumbar 1 73,2,2,positif,0.09714671,0.20464192,0.6982114
"Kapolri Telah Kantongi Tersangka Pembalakan Liar Di Tapanuli Selatan, Perparah Banjir Di Sumatera Kapolri Telah Kantongi Tersangka Pembalakan Liar Di Tapanuli Selatan, Perparah Banjir Di Sumatera 53",0,1,netral,0.29453668,0.5660233,0.13944007
"Ini salah satu cara Allah SWT utk membuat rugi para perusak bumi. Sudah bersusah payah melalukan pembalakan liar tak terkendali, hasilnya ternyata harus hanyut terbawa banjir... Kasihan masyarakat yg tak menahu harus ikut terdampak parah..",0,0,negatif,0.785959,0.113996714,0.10004421
"Yukkk.....dulur2 diseluruh Indonesia nonton Film TIMUR klo dulur2 nonton Film TIMUR berarti dulur2 sdh membantu korban Banjir di Aceh,Sumut dan Sumbar krn Pernyataan dr Bung Iko Uwais semua pendapatan dr Film TIMUR akan didonasikan unt korban Banjir,Amazing 2 2 13 352",0,0,negatif,0.6568746,0.05545021,0.28767523
"Pejabat2 tidak punya urat malu, tidak mungkin mau mundur inanews. . 5-7 Menteri Harus Mundur terkait Bencana Banjir Sumatra INAnews. . , Jakarta- Pengamat politik Rocky Gerung mendesak setidaknya 5 hingga 7 menteri mengundurkan diri menyusul penanganan bencana banjir bandang di Sumatera yang dinilai gagal. Dalam... 9",0,1,netral,0.3894105,0.5102417,0.10034782
"Mendagri memastikan akan berkoordinasi dengan Kementerian Pertanian untuk memulihkan sawah terdampak melalui program optimalisasi lahan, berupa pembersihan lumpur, bantuan benih, pupuk, irigasi, serta alat mesin pertanian BanjirAceh Aceh TitoKarnavian Mendagri Tinjau Lokasi Banjir di Gayo Lues, Fokus Pemulihan Sawah dan Jembatan - Serambinews. 306",2,2,positif,0.07338665,0.3949252,0.53168815
"Banjir dikawasan pulau Sumatra, pejabatnya bilang cuaca extrime, ya betul, saking extrime ya hujannya bukan hujan air, tapi hujan kayu gelondongan. Untuk semua pejabat, bikin aja terus kebijakan yg menyesatkan dan merusak. Kita tinggal sama2 hukuman dari Allah berupa bencana.",0,0,negatif,0.69129145,0.2634548,0.045253795
"Tidak perlu banyak berdebat, mari bantu, gotong royong, berdoa demi saudara kita di Sumatera. PrayForSumatera yukgasss 2 1 1 67",1,2,positif,0.29013774,0.06701801,0.6428442
"Banjir besar Aceh & Sumatra 2025 bukan sekadar ""musibah alam"". Ini adalah Bencana Ekologis Buatan Manusia (Man-made Disaster) yang terstruktur. Sebuah bedah kasus Mengapa negara gagal mengurus hutan dan kenapa Masyarakat Adat adalah kunci keselamatannya. A Thread 2 1 104",0,0,negatif,0.6027698,0.33380458,0.06342562
"ya allah napa hujan lagi bukannya ga bersyukur, tapi yang kemarin aja masih dalam proses evakuasi dan pembersihan lumpur/tumpukan sisa banjir dan longsor semoga ga kenapa napa lagi 1 173",0,0,negatif,0.47498316,0.2953683,0.22964855
Anjirrr lagi kerja gue malah nangis gara gara liat banjir aceh gak tega banget ya Allah 31,0,0,negatif,0.7784153,0.14296134,0.078623325
"Natal adalah panggilan moral untuk peduli. Pesan Natal Prabowo mengajak kita menyentuh hati sesama. Langkah Presiden Perkuat Solidaritas ini menjadi pelipur lara bagi korban banjir bandang. Pesan Natal 2025, Presiden Prabowo Ajak Gotong Royong untuk Sumatra 20",0,0,negatif,0.58282524,0.05783032,0.35934442
Akun parodi Ini foto kenyataan bukan rekayasa AI. PrayForSumatera PrayForTapanuli PrayForAceh PrayForSibolga PrayForPrabowo Kerna ulah Oligarki rakyat banyak yg mati. *kapan revolusi.? [aku bertanya dengan hati-hati] •• 1 11 20 511,0,0,negatif,0.64592636,0.25034,0.10373364
"Di tanah Sumatera lebih banyak perusakan dibanding pembangunan, Sumatera juga Indonesia AllEyesOnSumatera PrayForSumatera 118",0,0,negatif,0.48393312,0.32350016,0.19256675
Melalui Pesan Natal Prabowo Presiden Perkuat Solidaritas dengan mengajak rakyat saling membantu korban banjir bandang dan longsor di Sumatera.,0,0,negatif,0.5347927,0.07010976,0.39509752
"Tragedi Longsor Tapsel, 22 Korban Ditemukan Meninggal di Desa Batu Godang Sebanyak 22 korban tanah longsor di Kampung Duren, Desa Batu Godang, Tapanuli Selatan, Sumatera Utara, ditemukan dalam kondisi meninggal dunia oleh Tim SAR Gabungan, Senin (1/12/2025). + Banjir 3 38 89",0,0,negatif,0.6494856,0.25684372,0.09367064
"""Untuk bantuan pembuatan sumur bor, kami merencanakan pembangunan 436 fasilitas sumur bor di tiga provinsi. 261 di Aceh, 25 di Sumut, dan 150 titik di Sumbar. Saat ini proses sedang berjalan. Belum semua selesai,"" ujar Sigit dalam konferensi pers, Senin. Baca di sini 3 815",2,1,netral,0.1367086,0.62509686,0.23819458
"guys banjir di aceh dan sumbar emang separah itu, air mata gua keluar terus gak kuat bgt 21",0,0,negatif,0.54003245,0.4065926,0.05337495
"day 1 UO ada aja ujiannya, motor mogok lah, kesandung, jatuhh laa tok nak berak tok... gwenchana, topping hidup biar ga polosan amat sii 1 14",0,0,negatif,0.6510452,0.29813963,0.050815135
"ya allah hujan lagi udah trust issues bgt sama hujan bukan ga bersyukur ya allah, tapi jangan sampe ada banjir susulan lagi 3 5 562",0,0,negatif,0.58734065,0.29015097,0.12250836
"Potret RSUD Aceh Tamiang yang Sudah Beroperasi dan Kembali Layani Masyarakat Aceh Tamiang — Rumah Sakit Umum Daerah (RSUD) Aceh Tamiang pada Sabtu (20/12) terpantau kembali bersih dan mulai melayani masyarakat, setelah sebelumnya terendam banjir dan tertimbun lumpur akibat 1 947",0,2,positif,0.09446401,0.35948667,0.5460493
"Gelondong kayu memperparah banjir Sumatera di Desa Garoga, Tapanuli Selatan. Tempo melihat sendiri gelondong-gelondong kayu merusak Daerah Aliran Sungai Garoga. Simak selengkapnya dalam program Tukang Kupas Perkara. Tayang setiap Kamis, 25 Desember 2025 pukul 19.30 WIB di 7 168 360",0,1,netral,0.36942527,0.5562939,0.07428078
"Kondisi pilu dialami warga terdampak banjir di Aceh yang terpaksa mengungsi secara darurat di tepi jalan. Tanpa adanya posko utama, mereka telah bertahan di lokasi tersebut selama lebih dari satu minggu. Ketika tim liputan tiba, suasana malam hari terlihat gulita akibat listrik 2 5 8",0,0,negatif,0.66459394,0.116910756,0.21849534
"ini ditempat kerjaku jga lumayan banjir semata kaki lebih bahkan ada yg sampe masuk rumah, hujan ga berhenti2 gimana ga banjir 1 131",0,0,negatif,0.7040332,0.25162694,0.04433989
"lu kira bencana ni kaya event goblok ngabisin anggaran aja, pemerintah klo ga goblok tolol dungu lu angkut semua 6",0,0,negatif,0.7504496,0.15767623,0.09187416
"Guys, ada yang tau info volunteer buat bisa bantu terjung langsung ke saudaraku korban banjir di aceh? Plis let me know. Sedih banget rasanya liat seliweran foto/video situasi mereka disana, hati ini tergerak buat ikut bantu. volunteer volunteersumatera banjirsumatera 1 8",0,0,negatif,0.5445476,0.0748837,0.38056865
"Di tengah duka banjir Sumatera, Gus Yahya terus kerahkan organ NU dari tingkat pusat sampai ranting untuk bantu korban bencana. Kita yakin dengan semangat gotong royong dan ketulusan berkhidmat, kita bisa bangkit bersama. NUPeduliBencanaSumatera Korban Terus Bertambah, Gus Yahya Kerahkan Kekuatan PBNU untuk Bantu Bencana di Sumatera 8 23",0,0,negatif,0.602745,0.049074676,0.34818032
Penanganan banjir di Aceh makin lancar karena respons pemerintah yang solid 19,2,2,positif,0.11522869,0.23436652,0.6504048
SUMATERA BUTUH STATUS BENCANANASIONAL NATIONALDISASTER PrayForSumatera 20 54,1,1,netral,0.16310756,0.66657907,0.17031334
Siapa yg Bayar PrayForSumatera IndonesiaGelap TolakUUTNI SupremasiSipil MariBangunKesadaran TolakOkupasiTanahRakyat Desember2025 1 33,0,2,positif,0.3433993,0.255526,0.40107474
Seskab Teddy Pemerintah Kirim 11 Helikopter Logistik untuk Korban Banjir Sumatera - Aceh PrayForSumatera PrayForAceh Teddy Pastikan 11 Helikopter Non-Stop Keliling Lokasi Banjir Longsor Sumatera-Aceh mengirim bantuan terutama ke wilayah yang sulit dijangkau jalur darat 9 32 102,0,0,negatif,0.67288494,0.067934304,0.25918078
"Presiden Prabowo Subianto menegaskan pemerintah akan percepat pembangunan hunian dan pemulihan infrastruktur di Aceh, Sumbar dan Sumut pasca bencana banjir dan longsor. Pemerintah memastikan seluruh langkah penanganan darurat hingga pemulihan pascabencana berjalan terkoordinasi 460",2,2,positif,0.057399005,0.35356703,0.58903396
"Menteri Ekraf Motoran dan Blusukan ke Rumah Warga Terdampak Banjir di Pidie Jaya Dalam kunjungan tersebut, awalnya Teuku Riefky berjalan kaki menyusuri rumah-rumah warga yang sebelumnya terendam banjir bandang. Banjiraceh KorbanBanjir MenteriEkref Menteri Ekraf Motoran dan Blusukan ke Rumah Warga Terdampak Banjir di Pidie Jaya - Serambinews. 57",0,0,negatif,0.4496378,0.24070266,0.30965957
"Berdasarkan data BMKG & BNPB (3 Des 2025) - Sumatra (Aceh, Sumut, Sumbar, Sumsel) Potensi longsor susulan & banjir baru akibat hujan ekstrem >100mm/hari (siklon tropis Senyar, curah hujan tinggi hingga 8 Des). Korban banjir Sumatra >753 jiwa, waspada daerah perbukitan. - Jawa",0,1,netral,0.34311402,0.6092603,0.047625653
"Perjuangan tanpa henti untuk mengembalikan terang dan harapan masyarakat Aceh. Sudah sebulan lebih pascabencana banjir yang melanda wilayah Aceh, salah satu yang paling parah terdampak adalah Kecamatan Takengon, Kabupaten Aceh Tengah. PetugasPLN24Jam 32",0,2,positif,0.20798424,0.14433412,0.64768165
"sedih banget ya. emang udah paling bener gua tinggal sendiri aja/ngekost. gua pikir dengan salah satu keluarga gua ada yang mau nampung gua, gua akan dianggep. beneran sedih pdahal ini cuma karena banjir kemarin wkwkwk. 1 16",0,0,negatif,0.69537675,0.1946563,0.10996691
"Ribuan keluarga korban banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat memilih bertahan di luar hunian sementara dengan menerima Dana Tunggu Hunian (DTH) dari pemerintah. Badan Nasional Penanggulangan Bencana (BNPB) mencatat, hingga kini sebanyak 16.264 kepala 1 1",1,0,negatif,0.6495167,0.16396299,0.18652031
"Cukong2 boss kayu dan tambang itu lagi kongkow2 di S'pore, bininya lagi belanja tas di Paris, anaknya lagi nonton NBA di LA.. Kalian para peliharaan lagi nonton tv lihat saudara di Aceh, Sumut dan Sumbar tertimpa bencana.. OTAK KALIAN ADA DIMANA BABIK..?",0,0,negatif,0.80080587,0.13241854,0.06677555
"Satgas KKP Peduli Bencana Bantu Normalisasi Sumur Air di Aceh Tamiang Satgas KKP Peduli Bencana Aceh dan Sumatra terus bergerak mendampingi masyarakat pascabencana di Aceh Tamiang, Langkat, hingga Langsa. AcehTamiang PSDKPPantangTercela KKP2026GrowStronger 2 57",1,2,positif,0.072172634,0.13861987,0.7892075
"Susahnya pasca banjir, kayaknya maret tahun lalu di wilayah saya cuma selutut doang sampai masuk dalam rumah 3 hari baru menyusut dan ini baru kejadian banjir pertama kali setelah belasan tahun enggak pernah (terakhir kali katanya paling parah nyaris nyentuh atap rumah) 1 45",0,0,negatif,0.5895756,0.37379295,0.036631417
WALHI Desak Pemerintah Evaluasi Pengusaha Nakal Usai Banjir Sumatera WALHI UliArtaSiagian Banjir Longsor Sumatera Sumatra Pengusaha,0,0,negatif,0.40974513,0.40289503,0.18735985
"Kalau pemerintah hadir dan cepat tanggap, gak perlu influencer kumpul donasi . Kalau harus nunggu ijin dari pemerintah keburu habis mereka. 8",0,2,positif,0.35815832,0.17486985,0.46697176
"Ya Allah banjir di mana2,mana bawa kayu2 rapi lagi banjir nya..sesuatu yang berlebihan dan tanpa kendali memang menakutkan. 1 28",0,0,negatif,0.7009635,0.24669357,0.052343007
"1/ Ribuan saudara kita di Aceh, Sumut, Sumbar sudah meninggal dan hilang karena banjir+longsor. Tapi sampai hari ini statusnya masih “bencana daerah”, bukan bencana nasional. Kenapa sih kok lama banget dinaikkan? 1 55",0,0,negatif,0.7544006,0.17828877,0.06731062
"Upaya evakuasi warga terdampak banjir di Kota Langsa kembali dilakukan melalui jalur laut untuk memastikan keselamatan kelompok rentan yang membutuhkan penanganan segera. Sebanyak 36 penumpang, terdiri dari ibu hamil, warga lanjut usia, anak-anak, serta beberapa warga yang 1 6 340",2,2,positif,0.2003199,0.2218887,0.5777914
salut buat Pak Prabowo! Keputusan tepat buat penanganan banjir Sumatera. Semangat terus 18,2,2,positif,0.1321353,0.14531194,0.7225528
banjir susulan yang masih terjadi di sumbar. kini pemerintah masih terus mengupayakan bantuan untuk warga di sumbar 59 3 3 118,1,2,positif,0.20076618,0.19570284,0.603531
"Sahabat Bahari, dampak banjir bandang di Aceh tentu membawa kerugian besar bagi infrastruktur dan ekonomi masyarakat. Terutama di Dusun Perdamaian, Desa Pondok Kemuning, Langsa dan Desa Sungai Liput, Aceh Tamiang yg seluruhnya terendam banjir pada November lalu 1 5 10 339",0,1,netral,0.44679347,0.45067585,0.10253069
"Sumsel Kirim 52,9 Ton Bantuan untuk 3 Provinsi Terdampak Banjir Sumatra sumsel.idntimes. Sumsel Kirim 52,9 Ton Bantuan untuk 3 Provinsi Terdampak Banjir Sumatra Pemerintah Provinsi Sumatra Selatan menyalurkan bantuan sebanyak 52,9 ton bantuan ketiga wilayah terdampak bencana di Sumatra seperti, Aceh, Sumatra Utara dan Sumatra Barat. 39",2,2,positif,0.15281463,0.1776368,0.6695486
"Keluarga Besar BPKP Banten turut berduka sedalam-dalamnya atas musibah banjir dan longsor yang melanda sejumlah wilayah di Aceh, Sumatera Utara, dan Sumatera Barat. Semoga para korban yang terdampak diberikan kekuatan, perlindungan, dan pemulihan yang cepat. prayforsumatera 115",0,0,negatif,0.61798406,0.12222922,0.2597867
"Apalagi di Sumatera macam di Jambi dan Indragiri, seisi kota apalagi di perkampungan dikelilingi kebun kelapa sawit, kalau tak kerana tanah runtuh dan banjir, selalu ada rusuhan rebutan tanah dan kebun atau konflik agraria.",0,0,negatif,0.59245384,0.3598378,0.047708347
"Presiden Prabowo Subianto mengucapkan selamat Tahun Baru 2026 kepada para pengungsi korban banjir bandang dan tanah longsor di Tapanuli Selatan, Sumatera Utara (Sumut) PrabowoBersamaRakyat Tahun Baru Di Tapsel 43",1,0,negatif,0.4390591,0.14803272,0.41290823
"Di tengah musibah, solidaritas jadi kunci. Pemerintah Bareng Warga turun langsung ke lokasi banjir di Sumatra, bantu dari evakuasi sampai kebutuhan harian. 16",2,2,positif,0.1697239,0.08631889,0.74395716
"Perum Badan Urusan Logistik atau Bulog, memastikan bahwa akan ada penambahan 50 ribu ton beras ke Provinsi Aceh guna memperkuat stok pangan dalam pemulihan pascabencana banjir dan longsor serta untuk pemenuhan kebutuhan Ramadhan hingga Idul Fitri 2026. Selengkapnya 1 963",2,1,netral,0.054742914,0.51166517,0.43359187
"Berdasarkan laporan terkini dari BNPB dan berita lokal (28-29 Nov 2025), banjir masih melanda Aceh Utara, termasuk Kec. Dewantara & Krueng Geukuh. Akses jalan nasional di Krueng Geukuh tergenang, tapi Dewantara tidak termasuk daftar kecamatan terisolasi (seperti Langkahan dll.).",0,1,netral,0.18093233,0.77263856,0.04642914
"Kunjungan Presiden Prabowo hari ini di Sumbar mengevaluasi tata ruang rawan banjir. Beliau mengapresiasi kerja keras Polri, TNI, serta berbagai instansi lain di lapangan. PrabowoPeduliSumatera Respons Cepat Negara Prabowo Turun ke Sumatra Evakuasi Dipercepat, Infrastruktur Dipulihkan, Negara Hadir Sepenuhnya -... 14",2,2,positif,0.0645252,0.12557453,0.8099003
Pemerintah Sigap untuk Aceh Sumatra mempercepat pembangunan infrastruktur pasca bencana 17,1,2,positif,0.051880743,0.10328279,0.8448365
apa yg mau di cek ya bangsat org udh jelas PrayForSumatera PrayForTapanuli PrayForSibolga PrayForAceh SaveTessoNilo SaveOrangutans PrayForIndonesia 1 41,0,0,negatif,0.615552,0.18177283,0.2026752
"Tujuh bupati di Aceh sudah menyatakan tidak sanggup menangani banjir dan longsor. Di saat yang sama, warga Aceh, Sumut, dan Sumbar hampir putus asa menanti bantuan. Lantas apa yang membuat pemerintah yakin ""kita bisa menyelesaikan masalah ini""? Banjir Sumatra Pemerintah tolak bantuan asing, pemulihan wilayah terdampak diprediksi butuh 30... 17 214 373",0,0,negatif,0.6471092,0.18625072,0.16664007
Emang lagi krisis² nya - Listrik padam - Sinyal hilang timbul - Air nggak ada - Bahan pangan naik drastis Simulasi hidup di djaman doeloe 1 45,0,0,negatif,0.61776006,0.30791277,0.07432712
Pemerintah kabupaten dan kota serta Pemerintah Aceh juga harus menambah percepatan ekstra dalam penanganan dampak banjir terutama percepatan pembangunan hunian sementara + dapur umum beserta fasilitas MCK. Biasanya setelah bencana banjir akan timbul penyakit ISPA dan sakit diare. 1 106,0,1,netral,0.35612395,0.4344869,0.20938917
"Akun komentar Helikopter terbang rendah angkut bantuan, tim darat menembus jalan yang rusak, tim air menyisir rumah-rumah yang terendam. Kerja besar tanpa banyak bicara. Polisi Tanggap Bencana Terimakasih POLRI 1 7",2,2,positif,0.27342156,0.06826497,0.65831345
"Melihat yang terjadi di sumatera pastinya cukup membuat masyarakat kalimantan waspada, aku lagi tinggal di pelosok kabupaten kalimantan timur yang terkenal hutannya banyak di gunduli… sekarang banjir makin naik airnya, debit air kencang dan beberapa rumah siap untuk mengungsi… 1 36",1,1,netral,0.33705583,0.55954117,0.103402965
salut buat POLRI yg nggak tinggal diam dan selalu siap bantu korban banjir di Sumatera. Kehadiran kalian benar-benar bawa angin segar dan bantuan nyata. Keep the good work 22,0,2,positif,0.44745404,0.058902178,0.4936437
"Beratnya medan bukan pematah semangat ketika nyala listrik harus kembali hadir. Di tengah akses darat yang terputus, kolaborasi PLN, BNPB dan TNI berhasil membawa genset dari Banda Aceh ke Rumah Sakit di Takengon, Aceh Tengah dengan helikopter milik BNPB.",2,2,positif,0.08612186,0.18554871,0.72832936
